Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Ventas_Clase,Nota PEGI,User Score,User Ratings Count,Estado_Consola,Price,Price_Platform,Year_Consola,Play Time,Modo Juego,Años_desde_lanzamiento_consola,Precio_relativo,PEGI_categoria,Duracion_juego_cat,Nombre_Base,Es_Saga,Tipo_Saga,Situacion_Economica
NASCAR '15,Xbox 360,2015,Sports,Deep Silver,0.15,0.0,0.0,0.02,0.17,Normal,3,6.4336,27,Consola Obsoleta,59.99,299.0,2005,1.2902584493041749,Multijugador,10,0.20063545150501672,Infantil,Corto,nascar,1,Saga,Crecimiento
TransFormers Animated: The Game,Nintendo DS,2008,Action,Activision,0.15,0.01,0.0,0.01,0.17,Normal,3,6.80204081632653,28,Consola Obsoleta,39.99,149.0,2004,7.0,Multijugador,4,0.26838926174496647,Infantil,Medio,transformers animated the game,0,No saga,Recesion
Fracture,PlayStation 3,2008,Shooter,LucasArts,0.11,0.04,0.0,0.02,0.17,Normal,18,6.703278688524589,150,Consola Obsoleta,59.99,599.0,2006,6.828877005347594,Multijugador,2,0.10015025041736228,Adulto,Medio,fracture,1,Saga,Recesion
Sega Superstars,PlayStation 2,2004,Misc,Sega,0.08,0.06,0.0,0.02,0.17,Normal,16,7.0,7,Consola Obsoleta,49.99,399.0,2000,2.6051502145922747,Multijugador,4,0.12528822055137845,Adulto,Corto,sega superstars,0,No saga,Crecimiento
Midway Arcade Treasures,GameCube,2003,Misc,Midway Games,0.13,0.03,0.0,0.0,0.17,Normal,16,6.923529411764706,25,Consola Obsoleta,49.99,199.0,2001,2.6051502145922747,Multijugador,2,0.25120603015075377,Adulto,Corto,midway arcade treasures,1,Saga,Crecimiento
Leisure Suit Larry: Magna Cum Laude,Xbox,2004,Adventure,Vivendi Games,0.12,0.04,0.0,0.01,0.17,Normal,18,7.447368421052632,26,Consola Obsoleta,59.99,299.0,2001,17.146198830409357,Individual,3,0.20063545150501672,Adulto,Medio,leisure suit larry magna cum laude,1,Saga,Crecimiento
Mousetrap / Operation / Simon,Game Boy Advance,2005,Misc,DSI Games,0.12,0.04,0.0,0.0,0.17,Normal,3,6.9125000000000005,12,Consola Obsoleta,39.99,120.0,2001,2.6051502145922747,Multijugador,4,0.33325,Infantil,Corto,mousetrap operation simon,0,No saga,Crecimiento
Klonoa,Nintendo Wii,2008,Platform,Namco Bandai Games,0.11,0.02,0.03,0.01,0.17,Normal,12,7.252941176470588,56,Consola Obsoleta,49.99,249.0,2006,10.0,Individual,2,0.20076305220883536,Adolescente,Medio,klonoa,0,No saga,Recesion
NBA 09: The Inside,PlayStation 2,2008,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,Normal,3,6.678906250000001,11,Consola Obsoleta,49.99,399.0,2000,1.2902584493041749,Multijugador,8,0.12528822055137845,Infantil,Corto,nba the inside,1,Saga,Recesion
Spyro: Shadow Legacy,Nintendo DS,2005,Action,Vivendi Games,0.14,0.01,0.0,0.01,0.17,Normal,3,5.1,19,Consola Obsoleta,39.99,149.0,2004,7.0,Multijugador,1,0.26838926174496647,Infantil,Medio,spyro shadow legacy,0,No saga,Crecimiento
Resident Evil,Sega Saturn,1997,Action,Capcom,0.0,0.0,0.17,0.0,0.17,Normal,18,9.4,1326,Consola Obsoleta,59.99,399.0,1994,11.369853454291695,Multijugador,3,0.15035087719298246,Adulto,Medio,resident evil,1,Saga,Crecimiento
Wildstar,PC,2014,Role-Playing,NCSoft,0.08,0.07,0.0,0.02,0.17,Normal,16,7.6,962,Consola Activa,49.99,230.0,1980,32.212765957446805,Individual,34,0.21734782608695652,Adulto,Largo,wildstar,0,No saga,Crecimiento
Dragon Ball: Fusions,Nintendo 3DS,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,Normal,16,8.0,73,Consola Secundaria,39.99,250.0,2011,32.212765957446805,Individual,5,0.15996000000000002,Adulto,Largo,dragon ball fusions,0,No saga,Crecimiento
Apache: Air Assault,Xbox 360,2010,Simulation,Activision,0.12,0.04,0.0,0.01,0.17,Normal,16,6.8,28,Consola Obsoleta,59.99,299.0,2005,8.617886178861788,Individual,5,0.20063545150501672,Adulto,Medio,apache air assault,1,Saga,Crecimiento
TOEIC Test Training DS,Nintendo DS,2007,Misc,IE Institute,0.0,0.0,0.17,0.0,0.17,Normal,3,6.324137931034483,15,Consola Obsoleta,39.99,149.0,2004,3.0,Multijugador,3,0.26838926174496647,Infantil,Corto,toeic test training ds,0,No saga,Crecimiento
Jikkyou Powerful Pro Yakyuu 2014,PlayStation 3,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,Normal,3,6.4672268907563035,40,Consola Obsoleta,59.99,599.0,2006,1.2902584493041749,Multijugador,8,0.10015025041736228,Infantil,Corto,jikkyou powerful pro yakyuu,1,Saga,Crecimiento
