Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Babel Rising,6/13/2012,Mondo Productions,Ubisoft,Strategy,Rated E +10 For Everyone +10,3.4,14,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '55', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '51', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}]"
Tony Hawk's Pro Skater,9/29/1999,Neversoft Entertainment,Activision,Skating,Rated T For Teen,8.6,143,"[{'Platform': 'PlayStation', 'Platform Metascore': '92', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
Secret World Legends,6/26/2017,Funcom,Funcom,MMORPG,,5.3,51,"[{'Platform': 'PC', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
Guitar Hero (2010),6/7/2010,Vicarious Visions,Activision,Rhythm,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Stronghold: Crusader II,9/22/2014,FireFly Studios,FireFly Studios,Real-Time Strategy,Rated T For Teen,6,254,"[{'Platform': 'PC', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 30 Critic Reviews'}]"
Casper: Spirit Dimensions,9/30/2001,Lucky Chicken,TDK Mediactive,Third Person Shooter,Rated E For Everyone,,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '58', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'GameCube', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
PlayStation VR WORLDS,10/10/2016,SCEE London Studio,Sony Interactive Entertainment,Party,Rated M For Mature,7.1,133,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 48 Critic Reviews'}]"
Perfect Dark (2000),3/17/2010,4J Studios,Microsoft Game Studios,FPS,Rated M For Mature,8.1,110,"[{'Platform': 'Nintendo 64', 'Platform Metascore': '97', 'Platform Metascore Count': 'Based on 30 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 46 Critic Reviews'}]"
Trauma Center: Second Opinion,11/14/2006,Atlus,Atlus,Virtual Career,Rated T For Teen,7.4,24,"[{'Platform': 'Wii', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 49 Critic Reviews'}]"
Silent Hunter III,3/15/2005,Ubisoft,Ubisoft,Marine Combat Sim,Rated T For Teen,8.2,78,"[{'Platform': 'PC', 'Platform Metascore': '90', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}]"
Blood & Glory,11/17/2011,Glu Mobile,Glu Mobile,Action,,7.8,5,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Small Radios Big Televisions,11/8/2016,Fire Face,Adult Swim,First-Person Adventure,Rated E For Everyone,,,"[{'Platform': 'PC', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Bounty Train,5/16/2017,Corbie Games,Daedalic Entertainment,Train Sim,,7.5,8,"[{'Platform': 'PC', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Ugly Americans: Apocalypsegeddon,8/31/2011,Backbone Entertainment,Comedy Central Games,Vertical Shoot-'Em-Up,Rated M For Mature,6.4,19,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '44', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '45', 'Platform Metascore Count': 'Based on 16 Critic Reviews'}]"
Dai Senryaku VII: Modern Military Tactics,2/16/2005,SystemSoft,Kemco,Turn-Based Strategy,Rated E For Everyone,,,"[{'Platform': 'Xbox', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Little Big Workshop,10/17/2019,Mirage Game Studios,HandyGames,Tycoon,,7.6,12,"[{'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
Mega Man Battle Network 3: White Version,6/24/2003,Capcom,Capcom,Action RPG,Rated E For Everyone,7.2,49,"[{'Platform': 'Game Boy Advance', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 16 Critic Reviews'}]"
River City: Knights of Justice,6/20/2017,Avit-Niigata,Natsume,JRPG,Rated E +10 For Everyone +10,7.6,5,"[{'Platform': '3DS', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Screencheat,3/1/2016,Samurai Punk,Fellow Traveller,Tactical FPS,Rated E +10 For Everyone +10,6,6,"[{'Platform': 'PC', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Clumsy Ninja,11/21/2013,NaturalMotion,NaturalMotion,Virtual Pet,,6.5,11,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Dragon Ball: The Breakers,10/14/2022,Dimps Corporation,Bandai Namco Games,Action Adventure,Rated T For Teen,4.8,28,"[{'Platform': 'PC', 'Platform Metascore': '53', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '54', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'Xbox Series X', 'Platform Metascore': '54', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Street Fighter V: Champion Edition,2/14/2020,Capcom,Capcom,2D Fighting,Rated T For Teen,6.1,161,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
The Lara Croft Collection,6/29/2023,Feral Interactive,Feral Interactive,Compilation,Rated T For Teen,,,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Dragon Ball Legends,5/31/2018,Bandai Namco Games,Bandai Namco Games,3D Fighting,,6.4,49,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
River City Girls 2,12/15/2022,WayForward,Arc System Works,2D Beat-'Em-Up,Rated E +10 For Everyone +10,5.5,13,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'Xbox Series X', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
OutRun2,10/25/2004,Sumo Digital,Microsoft Game Studios,Auto Racing,Rated E For Everyone,8.3,18,"[{'Platform': 'Xbox', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 51 Critic Reviews'}]"
Senran Kagura: Peach Beach Splash,9/26/2017,Tamsoft,XSEED Games,Third Person Shooter,Rated M For Mature,7.3,85,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 25 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
Lode Runner Legacy,3/29/2018,Tozai Games,Tozai Games,Action Puzzle,Rated E For Everyone,7.5,6,"[{'Platform': 'PC', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
The Crew Motorfest,9/14/2023,Ubisoft Ivory Tower,Ubisoft,Arcade Racing,Rated T For Teen,7.7,362,"[{'Platform': 'PC', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 16 Critic Reviews'}, {'Platform': 'Xbox Series X', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 21 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 55 Critic Reviews'}]"
Space Run Galaxy,6/17/2016,Passtech Games,Focus Home Interactive,Defense,,5.8,17,"[{'Platform': 'PC', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
TransWorld Surf,11/15/2001,Angel Studios,Infogrames,Surfing,Rated T For Teen,,,"[{'Platform': 'Xbox', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 25 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Pro Cycling Manager Season 2011: Le Tour de France,7/1/2011,Cyanide,Focus Home Interactive,Biking,,,,"[{'Platform': 'PC', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
Bumpy Road,5/19/2011,Simogo,Simogo,Action,,6.6,7,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Jet Kave Adventure,9/17/2019,7Levels,7Levels,2D Platformer,Rated E +10 For Everyone +10,6.5,29,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
Ace Combat Advance,2/23/2005,Human Soft,Namco,Top-Down Shoot-'Em-Up,Rated E For Everyone,,,"[{'Platform': 'Game Boy Advance', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Lucius II,2/13/2015,Shiver Games,Shiver Games,Adventure,,3,65,"[{'Platform': 'PC', 'Platform Metascore': '48', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,5/22/2015,GungHo,Nintendo,Compilation,Rated E For Everyone,7.6,56,"[{'Platform': '3DS', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 59 Critic Reviews'}]"
Rocket Bunnies,6/7/2011,Chillingo,Chillingo,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
The World Ends with You,4/22/2008,Jupiter Corporation,Square Enix,Action RPG,Rated T For Teen,8.6,288,"[{'Platform': 'DS', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 59 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '91', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Raging Justice,5/8/2018,MakinGames,Team17,2D Beat-'Em-Up,Rated T For Teen,6,6,"[{'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'Xbox One', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
Shin Megami Tensei: Strange Journey,3/23/2010,Atlus,Atlus,Western RPG,Rated M For Mature,5.2,267,"[{'Platform': 'DS', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
Magicka: Wizards of the Square Tablet,3/28/2013,Ludosity Interactive,Paradox Interactive,Action Adventure,,6.9,14,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
Zool Redimensioned,8/18/2021,Sumo Digital,Secret Mode,2D Platformer,,4.7,14,"[{'Platform': 'PC', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
So Many Me,7/17/2014,Extend Interactive,Extend Interactive,Action Puzzle,Rated RP For Rate Pending,7.1,22,"[{'Platform': 'PC', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
Atari Anniversary Edition,7/9/2001,Digital Eclipse,Infogrames,Compilation,Rated E For Everyone,7,,"[{'Platform': 'PC', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'Dreamcast', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PlayStation', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
Super Mario 64,11/20/2004,Nintendo,Nintendo,3D Platformer,Rated E For Everyone,8.4,499,"[{'Platform': 'Nintendo 64', 'Platform Metascore': '94', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}, {'Platform': 'DS', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 54 Critic Reviews'}]"
Pacific Storm: Allies,1/28/2008,Lesta Studio,Buka Entertainment,Real-Time Strategy,Rated T For Teen,6,9,"[{'Platform': 'PC', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Assault Squadron,5/29/2010,Chillingo,Chillingo,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Knights of Honor,6/6/2005,Black Sea Studios,Paradox Interactive,Real-Time Strategy,Rated E +10 For Everyone +10,8.7,114,"[{'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
F1 2018,8/24/2018,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,7.8,107,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 45 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
Liberation Maiden,10/25/2012,Grasshopper Manufacture,Level 5,Vertical Shoot-'Em-Up,Rated T For Teen,7.7,46,"[{'Platform': '3DS', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 27 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Ghostbusters (2013),1/24/2013,"Beeline Interactive, Inc.","Beeline Interactive, Inc.",Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Final Fantasy VII,3/26/2019,Square Enix,Square Enix,JRPG,Rated T For Teen,8.4,234,"[{'Platform': 'PlayStation', 'Platform Metascore': '92', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 27 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
Rondo of Swords,4/15/2008,Success,Atlus,Turn-Based Strategy,Rated E +10 For Everyone +10,7.8,16,"[{'Platform': 'DS', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Colin McRae Rally 2005,9/28/2004,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,8.8,5,"[{'Platform': 'Xbox', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 35 Critic Reviews'}, {'Platform': 'PSP', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Urban Trial Tricky,6/25/2020,Tate Multimedia,Tate Multimedia,Biking,Rated E For Everyone,7.6,17,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
House Flipper,5/17/2018,Empyrean,PlayWay,Virtual Career,Rated E For Everyone,7.4,206,"[{'Platform': 'PC', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
The Blocks Cometh,1/6/2011,EdisonGame,EdisonGame,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
Star Trek The Video Game,4/23/2013,Digital Extremes,Namco Bandai Games,Action Adventure,Rated T For Teen,2.6,316,"[{'Platform': 'Xbox 360', 'Platform Metascore': '42', 'Platform Metascore Count': 'Based on 42 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '45', 'Platform Metascore Count': 'Based on 27 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '43', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
Castle Crashers,8/27/2008,The Behemoth,The Behemoth,2D Beat-'Em-Up,Rated T For Teen,8.5,250,"[{'Platform': 'Xbox 360', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 49 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
This Is the President,12/6/2021,SuperPAC,THQ Nordic,Strategy,,7,11,"[{'Platform': 'PC', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
NASCAR '14,2/18/2014,Eutechnyx,Deep Silver,Auto Racing Sim,Rated E For Everyone,4.8,24,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
The Evil Within 2,10/13/2017,Tango Gameworks,Bethesda Softworks,Survival,Rated M For Mature,8.5,2342,"[{'Platform': 'Xbox One', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 71 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 33 Critic Reviews'}]"
Bandfuse: Rock Legends,11/19/2013,Realta Entertainment Group,Mastiff,Rhythm,Rated T For Teen,7.7,9,"[{'Platform': 'PlayStation 3', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
Linelight,1/31/2017,My Dog Zorro,My Dog Zorro,Action Puzzle,Rated E For Everyone,5.5,14,"[{'Platform': 'PC', 'Platform Metascore': '90', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
GT Advance 2: Rally Racing,6/30/2002,MTO,THQ,Auto Racing Sim,Rated E For Everyone,,,"[{'Platform': 'Game Boy Advance', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Madden NFL 23,8/16/2022,EA Tiburon,Electronic Arts,Football Sim,Rated E For Everyone,1.5,237,"[{'Platform': 'PlayStation 5', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 31 Critic Reviews'}, {'Platform': 'Xbox Series X', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
Sword of the New World: Granado Espada,7/12/2007,IMC Games,K2 Network,MMORPG,Rated T For Teen,5.5,8,"[{'Platform': 'PC', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
Ghostrunner,10/27/2020,ONE MORE LEVEL,505 Games,3D Platformer,Rated M For Mature,8.1,686,"[{'Platform': 'PC', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 68 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox Series X', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
How We Soar,11/29/2016,Penny Black Studios,Penny Black Studios,Action,Rated E For Everyone,6.7,7,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
DCS: Black Shark,4/13/2009,Eagle Dynamics,Take-Two Interactive,Aircraft Sim,Rated T For Teen,8.5,42,"[{'Platform': 'PC', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Resident Evil 7: biohazard,1/24/2017,Capcom,Capcom,Survival,Rated M For Mature,8.1,4532,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 108 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
Baten Kaitos I & II HD Remaster,9/14/2023,Logicalbeat,Bandai Namco Games,Compilation,Rated T For Teen,7.9,41,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
RPG Maker MV,9/8/2020,Kadokawa,NIS America,Application,Rated E +10 For Everyone +10,7.6,17,"[{'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
Velocibox,7/28/2015,Shawn Beck,LOOT Entertainment,Arcade,Rated E For Everyone,5.8,10,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
The Weakest Link,10/2/2001,Traveller's Tales,Activision,Trivia,Rated E For Everyone,,,"[{'Platform': 'PC', 'Platform Metascore': '47', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'PlayStation', 'Platform Metascore': '63', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Sonic's Ultimate Genesis Collection,2/10/2009,Backbone Entertainment,Sega,Compilation,Rated E +10 For Everyone +10,7.6,50,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 35 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 45 Critic Reviews'}]"
Gunman Clive 2,1/29/2015,Horberg Productions,Horberg Productions,2D Platformer,Rated E +10 For Everyone +10,7.7,53,"[{'Platform': '3DS', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}]"
Final Fantasy XIV: Shadowbringers,7/2/2019,Square Enix,Square Enix,MMORPG,Rated T For Teen,9.1,1581,"[{'Platform': 'PC', 'Platform Metascore': '90', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '91', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}]"
Chromehounds,7/11/2006,From Software,Sega,Vehicle Combat Sim,Rated T For Teen,6,19,"[{'Platform': 'Xbox 360', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 60 Critic Reviews'}]"
