Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
.detuned,10/15/2009,.theprodukkt,SCEA,Rhythm,Rated E For Everyone,3.4,32,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '46', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
Neverwinter Nights 2: Storm of Zehir,11/18/2008,Obsidian Entertainment,Atari SA,Western RPG,Rated T For Teen,6.9,59,"[{'Platform': 'PC', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Starcraft Remastered,8/14/2017,Blizzard Entertainment,Blizzard Entertainment,Command RTS,,7.8,270,"[{'Platform': 'PC', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 31 Critic Reviews'}]"
Assassin's Creed: Altair's Chronicles,2/5/2008,Gameloft,Ubisoft,Action Adventure,Rated T For Teen,5.6,35,"[{'Platform': 'DS', 'Platform Metascore': '58', 'Platform Metascore Count': 'Based on 30 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
Sid Meier's Ace Patrol,5/9/2013,Firaxis Games,2K Games,Strategy,,4.8,9,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 21 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Pang Adventures,4/19/2016,Pasta Games,DotEmu,2D Platformer,Rated E For Everyone,5.6,12,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '63', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
The Nioh Collection,2/5/2021,Team Ninja,Sony Interactive Entertainment,Compilation,Rated M For Mature,7.5,167,"[{'Platform': 'PlayStation 5', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 37 Critic Reviews'}]"
Capcom Arcade 2nd Stadium,7/22/2022,Capcom,Capcom,Compilation,Rated T For Teen,4.5,11,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}]"
The Legend of Heroes: Trails into Reverie,7/7/2023,Falcom,NIS America,JRPG,Rated T For Teen,7.8,50,"[{'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}]"
Yoku's Island Express,5/29/2018,Villa Gorilla,Villa Gorilla,Pinball,Rated E +10 For Everyone +10,7.5,44,"[{'Platform': 'PC', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 31 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 30 Critic Reviews'}]"
